,n_nodes,n_edges,density,modularity,n_communities,assortativity,avg_clustering,core_periphery,bridge_prevalence,largest_cc_frac
odyssey,1931.0,24845.0,0.013333047120475042,0.7145349917108675,41.0,0.2293654128417116,0.9130902406294312,0.866292510186915,0.09994821336095287,0.9585706887622993
worldcup,742.0,7832.0,0.02848922014761141,0.5092167123148857,20.0,-0.10297307811092644,0.8817773135683077,0.6555174392552916,0.10107816711590296,0.9703504043126685
