,outcome,att,ci_low,ci_high,n_treated,n_matched,naive_diff,max_smd_after
breadth,breadth,-299.7647058823529,-562.3632352941177,-43.85882352941189,17,17,-188.40686274509812,0.23810678032631394
volume,volume,-274.6470588235294,-635.3088235294117,86.1191176470585,17,17,-206.36437908496737,0.23810678032631394
reply_ratio,reply_ratio,0.07370984593045192,-0.0220693585573157,0.16367113476293807,17,17,0.03932043938069962,0.23810678032631394
